id;price;bedrooms;bathrooms;sqft_living;sqft_lot;floors;waterfront;view;condition;sqft_above;sqft_basement,,
1;315000;3;1,5;1340;7912;1,5;0;0;3;1340;0
2;1394000;5;2,5;3650;9050;2;0;4;5;3370;280,
3;520000;3;2;1930;11947;1;0;0;4;1930;0,,
4;485000;3;2,3;2000;8030;1;0;0;4;1000;1000,
5;478000;4;2,5;1940;10500;1;0;0;4;1140;800,
6;310000;2;1;880;6380;1;0;0;3;880;0,,
7;400000;2;2;1350;2560;1;0;0;3;1350;0,,
8;564000;4;2,5;2710;35868;2;0;0;3;2710;0,
9;438000;3;2,5;2430;88426;1;0;0;4;1570;860,
10;379000;4;2;1520;6200;1,5;0;0;3;1520;0,
11;419000;3;1,8;1710;7320;1;0;0;3;1710;0,
12;857000;4;2,5;2920;4000;1,5;0;0;5;1910;1010
13;557000;3;1,8;2330;14892;1;0;0;3;1970;360,
14;312000;3;1;1090;6435;1;0;0;4;1090;0,,
15;669000;5;2,8;2910;9480;1,5;0;0;3;2910;0
16;335000;3;1,5;1200;9720;1;0;0;4;1200;0,
17;428000;3;1,5;1570;6700;1;0;0;4;1570;0,
18;726000;4;3;3110;7231;2;0;0;3;3110;0,,
19;370000;3;1,8;1370;5858;1;0;0;3;1370;0,
20;332000;3;1,5;1180;10277;1;0;0;3;1180;0,
21;665000;3;1,8;2240;10578;2;0;0;5;1550;690,
22;320000;4;1;1450;8800;1;0;0;4;1450;0,,
23;498000;3;2,3;1750;1572;2,5;0;0;3;1470;280
24;603000;4;2,5;2730;12261;2;0;0;3;2730;0,
25;400000;4;1,8;1600;6380;1;0;0;3;1130;470,
26;564000;3;2,5;2090;10834;1;0;0;4;1360;730,
27;531000;3;1,8;2360;7291;1;0;0;4;1360;1000,
28;593000;4;2,3;2200;11250;1,5;0;0;5;1300;900
29;585000;5;2,5;2820;67518;2;0;0;3;2820;0,
30;702000;3;2,5;2600;4750;1;0;0;4;1700;900,
31;398000;4;1,8;1560;8700;1;0;0;4;1560;0,
32;708000;4;2,5;2860;3345;2;0;0;3;2190;670,
33;530000;4;2;1820;5000;1,5;0;1;3;1640;180,
34;637000;4;2,5;2820;8408;2;0;0;3;2820;0,
35;705000;4;2,5;3630;42884;1,5;0;0;3;2300;1330
36;850000;3;2,5;3240;33151;2;0;2;3;3240;0,
37;314000;2;1;800;4850;1;0;0;4;800;0,,
38;480000;3;3;1850;19966;1;0;0;4;1090;760,,
39;751000;3;2;1960;13100;1;0;2;5;1650;310,,
40;803000;3;2,5;2390;6550;1;0;2;4;1440;950,
41;429000;3;2,3;1580;16215;1;0;0;4;1580;0,
42;392000;4;2;1480;8625;1;0;0;4;1480;0,,
43;319000;2;1;850;6174;1;0;0;4;850;0,,
44;439000;3;2,5;1770;2875;2;0;0;3;1770;0,
45;321000;2;1;1210;9400;1;0;0;2;1210;0,,
46;321000;3;1;1160;9180;1;0;0;3;1160;0,,
47;515000;3;2,3;1970;35100;2;0;0;4;1970;0,
48;455000;3;2,5;1930;10460;2;0;0;3;1930;0,
49;411000;3;2,5;1270;1180;3;0;0;3;1270;0,
50;712000;4;2,5;3310;42998;2;0;0;3;3310;0,
51;564000;4;2,8;2710;37277;2;0;0;3;2710;0,
52;665000;3;1,8;2910;35200;1,5;0;0;3;2910;0
