id,price,bedrooms,sqft_lot,waterfront,view,condition,sqft_above,"sqft_basement,,",bathrooms,floors,sqft_living
1,315000,3,7912,0,0,3,1340,0,"1,5","1,5",1340
2,1394000,5,9050,0,4,5,3370,,"2,5",2,3650
3,520000,3,11947,0,0,4,1930,,2,1,1930
4,485000,3,8030,0,0,4,1000,,"2,3",1,2000
5,478000,4,10500,0,0,4,1140,,"2,5",1,1940
6,310000,2,6380,0,0,3,880,,1,1,880
7,400000,2,2560,0,0,3,1350,,2,1,1350
8,564000,4,35868,0,0,3,2710,,"2,5",2,2710
9,438000,3,88426,0,0,4,1570,,"2,5",1,2430
10,379000,4,6200,0,0,3,1520,,2,"1,5",1520
11,419000,3,7320,0,0,3,1710,,"1,8",1,1710
12,857000,4,4000,0,0,5,1910,1010,"2,5","1,5",2920
13,557000,3,14892,0,0,3,1970,,"1,8",1,2330
14,312000,3,6435,0,0,4,1090,,1,1,1090
15,669000,5,9480,0,0,3,2910,0,"2,8","1,5",2910
16,335000,3,9720,0,0,4,1200,,"1,5",1,1200
17,428000,3,6700,0,0,4,1570,,"1,5",1,1570
18,726000,4,7231,0,0,3,3110,,3,2,3110
19,370000,3,5858,0,0,3,1370,,"1,8",1,1370
20,332000,3,10277,0,0,3,1180,,"1,5",1,1180
21,665000,3,10578,0,0,5,1550,,"1,8",2,2240
22,320000,4,8800,0,0,4,1450,,1,1,1450
23,498000,3,1572,0,0,3,1470,280,"2,3","2,5",1750
24,603000,4,12261,0,0,3,2730,,"2,5",2,2730
25,400000,4,6380,0,0,3,1130,,"1,8",1,1600
26,564000,3,10834,0,0,4,1360,,"2,5",1,2090
27,531000,3,7291,0,0,4,1360,,"1,8",1,2360
28,593000,4,11250,0,0,5,1300,900,"2,3","1,5",2200
29,585000,5,67518,0,0,3,2820,,"2,5",2,2820
30,702000,3,4750,0,0,4,1700,,"2,5",1,2600
31,398000,4,8700,0,0,4,1560,,"1,8",1,1560
32,708000,4,3345,0,0,3,2190,,"2,5",2,2860
33,530000,4,5000,0,1,3,1640,,2,"1,5",1820
34,637000,4,8408,0,0,3,2820,,"2,5",2,2820
35,705000,4,42884,0,0,3,2300,1330,"2,5","1,5",3630
36,850000,3,33151,0,2,3,3240,,"2,5",2,3240
37,314000,2,4850,0,0,4,800,,1,1,800
38,480000,3,19966,0,0,4,1090,,3,1,1850
39,751000,3,13100,0,2,5,1650,,2,1,1960
40,803000,3,6550,0,2,4,1440,,"2,5",1,2390
41,429000,3,16215,0,0,4,1580,,"2,3",1,1580
42,392000,4,8625,0,0,4,1480,,2,1,1480
